level_0,index,Participant,State,Activity,Minute,MET (Google Fit),Datetime,Watch Intensity,MET (Ainsworth),MET (Freedson),MET (VM3),model_classification,scaled_intensity,estimation
1668,1688,P405,lab,reading,3,0.9079526888955538,2019-10-09 12:44:00,4.391153030125578,1.3,1.439008,0.668876,0,3.0539494725169987,1.5
1669,1689,P405,lab,reading,4,0.9079526888955538,2019-10-09 12:45:00,3.3364213005862884,1.3,1.439008,0.668876,0,2.63266008725058,1.5
1670,1690,P405,lab,reading,5,0.9079526888955538,2019-10-09 12:46:00,3.1924620855202477,1.3,1.439008,0.7379213935393232,0,2.5751587458951817,1.5
1671,1691,P405,lab,breathing,1,0.9079526888955538,2019-10-09 12:48:00,0.041759540103023136,1.0,1.439008,0.668876,0,1.3166799295842704,1.3166799295842704
1672,1692,P405,lab,breathing,2,0.9079526888955538,2019-10-09 12:49:00,4.8011936487465015,1.0,1.439008,0.668876,0,3.217731176731518,1.5
1673,1693,P405,lab,breathing,3,0.9079526888955538,2019-10-09 12:50:00,0.052017515008642316,1.0,1.439008,0.668876,0,1.3207772519848722,1.3207772519848722
1674,1694,P405,lab,breathing,4,0.9079526888955538,2019-10-09 12:51:00,0.043826010379188936,1.0,1.439008,0.668876,0,1.3175053356737387,1.3175053356737387
1675,1695,P405,lab,breathing,5,0.9079526888955538,2019-10-09 12:52:00,3.1362704520137736,1.0,1.439008,0.6826840000000001,0,2.5527142341069577,1.5
1676,1696,P405,lab,aerobics,1,3.4048225833583268,2019-10-09 12:55:00,9.865934501572896,7.3,2.234008,2.570869460759789,1,5.240730486094259,5.240730486094259
1677,1697,P405,lab,aerobics,2,3.4048225833583268,2019-10-09 12:56:00,10.467022829235894,7.3,2.285683,2.50207367374116,1,5.480821994636035,5.480821994636035
1678,1698,P405,lab,aerobics,3,3.4048225833583268,2019-10-09 12:57:00,7.4540556121652415,7.3,3.115663,3.51968073652511,1,4.277358525055938,4.277358525055938
1679,1699,P405,lab,aerobics,4,3.4048225833583268,2019-10-09 12:58:00,10.053284119422564,7.3,2.265013,3.3728990419707965,1,5.315563169252716,5.315563169252716
1680,1700,P405,lab,aerobics,5,3.4048225833583268,2019-10-09 12:59:00,10.203982893700976,7.3,3.6817029999999997,3.769312769368794,1,5.375756479265194,5.375756479265194
